greekislands+0,greekmainland+0,fyrom+0,serbia+0,croatia+0,slovenia+0,austria+0,greekislands-1,greekmainland-1,fyrom-1,serbia-1,croatia-1,slovenia-1,austria-1,greekislands-2,greekmainland-2,fyrom-2,serbia-2,croatia-2,slovenia-2,austria-2,greekislands-3,greekmainland-3,fyrom-3,serbia-3,croatia-3,slovenia-3,austria-3,greekislands-4,greekmainland-4,fyrom-4,serbia-4,croatia-4,slovenia-4,austria-4,greekislands-5,greekmainland-5,fyrom-5,serbia-5,croatia-5,slovenia-5,austria-5,greekislands-6,greekmainland-6,fyrom-6,serbia-6,croatia-6,slovenia-6,austria-6,greekislands-7,greekmainland-7,fyrom-7,serbia-7,croatia-7,slovenia-7,austria-7
2110,3172,4430,3799,1835,715,1493,2435,3844,3436,1927,611,1577,3366,2671,2255,494,553,4174,3237,2935,3863,4384,3174,4040,1982,3077,2874,4386,2057,3094,3284,2066,1709,2821,4744,4090,2270,1009,4009,4274,4482,4703,3736,1373,3825,3060,2843,2407,1420,778,4520,3454,2886,3139,3320
2435,3844,3436,1927,611,1577,3366,2671,2255,494,553,4174,3237,2935,3863,4384,3174,4040,1982,3077,2874,4386,2057,3094,3284,2066,1709,2821,4744,4090,2270,1009,4009,4274,4482,4703,3736,1373,3825,3060,2843,2407,1420,778,4520,3454,2886,3139,3320,1961,2532,2744,2878,3095,2065,2120
2671,2255,494,553,4174,3237,2935,3863,4384,3174,4040,1982,3077,2874,4386,2057,3094,3284,2066,1709,2821,4744,4090,2270,1009,4009,4274,4482,4703,3736,1373,3825,3060,2843,2407,1420,778,4520,3454,2886,3139,3320,1961,2532,2744,2878,3095,2065,2120,2973,5435,2617,2636,952,1742,2211
3863,4384,3174,4040,1982,3077,2874,4386,2057,3094,3284,2066,1709,2821,4744,4090,2270,1009,4009,4274,4482,4703,3736,1373,3825,3060,2843,2407,1420,778,4520,3454,2886,3139,3320,1961,2532,2744,2878,3095,2065,2120,2973,5435,2617,2636,952,1742,2211,4889,3565,1779,1194,1808,2070,4122
4386,2057,3094,3284,2066,1709,2821,4744,4090,2270,1009,4009,4274,4482,4703,3736,1373,3825,3060,2843,2407,1420,778,4520,3454,2886,3139,3320,1961,2532,2744,2878,3095,2065,2120,2973,5435,2617,2636,952,1742,2211,4889,3565,1779,1194,1808,2070,4122,3383,2006,2347,2335,4203,6297,6204
4744,4090,2270,1009,4009,4274,4482,4703,3736,1373,3825,3060,2843,2407,1420,778,4520,3454,2886,3139,3320,1961,2532,2744,2878,3095,2065,2120,2973,5435,2617,2636,952,1742,2211,4889,3565,1779,1194,1808,2070,4122,3383,2006,2347,2335,4203,6297,6204,409,1245,1113,2201,5184,4102,5546
4703,3736,1373,3825,3060,2843,2407,1420,778,4520,3454,2886,3139,3320,1961,2532,2744,2878,3095,2065,2120,2973,5435,2617,2636,952,1742,2211,4889,3565,1779,1194,1808,2070,4122,3383,2006,2347,2335,4203,6297,6204,409,1245,1113,2201,5184,4102,5546,76,2214,5539,6826,6305,5260,5446
1420,778,4520,3454,2886,3139,3320,1961,2532,2744,2878,3095,2065,2120,2973,5435,2617,2636,952,1742,2211,4889,3565,1779,1194,1808,2070,4122,3383,2006,2347,2335,4203,6297,6204,409,1245,1113,2201,5184,4102,5546,76,2214,5539,6826,6305,5260,5446,2020,2401,5255,4527,3977,2952,6836
1961,2532,2744,2878,3095,2065,2120,2973,5435,2617,2636,952,1742,2211,4889,3565,1779,1194,1808,2070,4122,3383,2006,2347,2335,4203,6297,6204,409,1245,1113,2201,5184,4102,5546,76,2214,5539,6826,6305,5260,5446,2020,2401,5255,4527,3977,2952,6836,4432,6389,7453,4042,3230,5211,5865
2973,5435,2617,2636,952,1742,2211,4889,3565,1779,1194,1808,2070,4122,3383,2006,2347,2335,4203,6297,6204,409,1245,1113,2201,5184,4102,5546,76,2214,5539,6826,6305,5260,5446,2020,2401,5255,4527,3977,2952,6836,4432,6389,7453,4042,3230,5211,5865,4737,3644,2816,3765,5167,5119,5635
4889,3565,1779,1194,1808,2070,4122,3383,2006,2347,2335,4203,6297,6204,409,1245,1113,2201,5184,4102,5546,76,2214,5539,6826,6305,5260,5446,2020,2401,5255,4527,3977,2952,6836,4432,6389,7453,4042,3230,5211,5865,4737,3644,2816,3765,5167,5119,5635,4499,4927,5831,4694,5180,5998,7577
3383,2006,2347,2335,4203,6297,6204,409,1245,1113,2201,5184,4102,5546,76,2214,5539,6826,6305,5260,5446,2020,2401,5255,4527,3977,2952,6836,4432,6389,7453,4042,3230,5211,5865,4737,3644,2816,3765,5167,5119,5635,4499,4927,5831,4694,5180,5998,7577,3873,4289,3621,4460,6304,7704,7026
409,1245,1113,2201,5184,4102,5546,76,2214,5539,6826,6305,5260,5446,2020,2401,5255,4527,3977,2952,6836,4432,6389,7453,4042,3230,5211,5865,4737,3644,2816,3765,5167,5119,5635,4499,4927,5831,4694,5180,5998,7577,3873,4289,3621,4460,6304,7704,7026,4873,4442,6557,6267,6490,5261,6319
76,2214,5539,6826,6305,5260,5446,2020,2401,5255,4527,3977,2952,6836,4432,6389,7453,4042,3230,5211,5865,4737,3644,2816,3765,5167,5119,5635,4499,4927,5831,4694,5180,5998,7577,3873,4289,3621,4460,6304,7704,7026,4873,4442,6557,6267,6490,5261,6319,4891,4497,7511,7734,8415,7300,7632
2020,2401,5255,4527,3977,2952,6836,4432,6389,7453,4042,3230,5211,5865,4737,3644,2816,3765,5167,5119,5635,4499,4927,5831,4694,5180,5998,7577,3873,4289,3621,4460,6304,7704,7026,4873,4442,6557,6267,6490,5261,6319,4891,4497,7511,7734,8415,7300,7632,4884,4171,4107,4453,8405,7905,7659
4432,6389,7453,4042,3230,5211,5865,4737,3644,2816,3765,5167,5119,5635,4499,4927,5831,4694,5180,5998,7577,3873,4289,3621,4460,6304,7704,7026,4873,4442,6557,6267,6490,5261,6319,4891,4497,7511,7734,8415,7300,7632,4884,4171,4107,4453,8405,7905,7659,4909,4820,6826,7464,6314,7397,6351
4737,3644,2816,3765,5167,5119,5635,4499,4927,5831,4694,5180,5998,7577,3873,4289,3621,4460,6304,7704,7026,4873,4442,6557,6267,6490,5261,6319,4891,4497,7511,7734,8415,7300,7632,4884,4171,4107,4453,8405,7905,7659,4909,4820,6826,7464,6314,7397,6351,3425,3650,8038,7500,9823,9681,8777
4499,4927,5831,4694,5180,5998,7577,3873,4289,3621,4460,6304,7704,7026,4873,4442,6557,6267,6490,5261,6319,4891,4497,7511,7734,8415,7300,7632,4884,4171,4107,4453,8405,7905,7659,4909,4820,6826,7464,6314,7397,6351,3425,3650,8038,7500,9823,9681,8777,4296,7354,7651,8648,8524,7554,8169
3873,4289,3621,4460,6304,7704,7026,4873,4442,6557,6267,6490,5261,6319,4891,4497,7511,7734,8415,7300,7632,4884,4171,4107,4453,8405,7905,7659,4909,4820,6826,7464,6314,7397,6351,3425,3650,8038,7500,9823,9681,8777,4296,7354,7651,8648,8524,7554,8169,4842,6133,9305,9107,7474,7457,6933
4873,4442,6557,6267,6490,5261,6319,4891,4497,7511,7734,8415,7300,7632,4884,4171,4107,4453,8405,7905,7659,4909,4820,6826,7464,6314,7397,6351,3425,3650,8038,7500,9823,9681,8777,4296,7354,7651,8648,8524,7554,8169,4842,6133,9305,9107,7474,7457,6933,3979,8977,11572,9785,6214,5341,5962
4891,4497,7511,7734,8415,7300,7632,4884,4171,4107,4453,8405,7905,7659,4909,4820,6826,7464,6314,7397,6351,3425,3650,8038,7500,9823,9681,8777,4296,7354,7651,8648,8524,7554,8169,4842,6133,9305,9107,7474,7457,6933,3979,8977,11572,9785,6214,5341,5962,4425,6902,9148,7695,6579,4381,3465
4884,4171,4107,4453,8405,7905,7659,4909,4820,6826,7464,6314,7397,6351,3425,3650,8038,7500,9823,9681,8777,4296,7354,7651,8648,8524,7554,8169,4842,6133,9305,9107,7474,7457,6933,3979,8977,11572,9785,6214,5341,5962,4425,6902,9148,7695,6579,4381,3465,6022,12116,6847,5397,2000,1716,4648
4909,4820,6826,7464,6314,7397,6351,3425,3650,8038,7500,9823,9681,8777,4296,7354,7651,8648,8524,7554,8169,4842,6133,9305,9107,7474,7457,6933,3979,8977,11572,9785,6214,5341,5962,4425,6902,9148,7695,6579,4381,3465,6022,12116,6847,5397,2000,1716,4648,6765,8392,1987,1906,2809,6655,7315
3425,3650,8038,7500,9823,9681,8777,4296,7354,7651,8648,8524,7554,8169,4842,6133,9305,9107,7474,7457,6933,3979,8977,11572,9785,6214,5341,5962,4425,6902,9148,7695,6579,4381,3465,6022,12116,6847,5397,2000,1716,4648,6765,8392,1987,1906,2809,6655,7315,6679,1430,960,1652,5587,5426,7478
4296,7354,7651,8648,8524,7554,8169,4842,6133,9305,9107,7474,7457,6933,3979,8977,11572,9785,6214,5341,5962,4425,6902,9148,7695,6579,4381,3465,6022,12116,6847,5397,2000,1716,4648,6765,8392,1987,1906,2809,6655,7315,6679,1430,960,1652,5587,5426,7478,5740,142,6532,4073,7792,7693,9930
4842,6133,9305,9107,7474,7457,6933,3979,8977,11572,9785,6214,5341,5962,4425,6902,9148,7695,6579,4381,3465,6022,12116,6847,5397,2000,1716,4648,6765,8392,1987,1906,2809,6655,7315,6679,1430,960,1652,5587,5426,7478,5740,142,6532,4073,7792,7693,9930,4689,0,6682,6129,5573,5591,6900
3979,8977,11572,9785,6214,5341,5962,4425,6902,9148,7695,6579,4381,3465,6022,12116,6847,5397,2000,1716,4648,6765,8392,1987,1906,2809,6655,7315,6679,1430,960,1652,5587,5426,7478,5740,142,6532,4073,7792,7693,9930,4689,0,6682,6129,5573,5591,6900,3290,1935,8075,8521,8746,8568,8243
4425,6902,9148,7695,6579,4381,3465,6022,12116,6847,5397,2000,1716,4648,6765,8392,1987,1906,2809,6655,7315,6679,1430,960,1652,5587,5426,7478,5740,142,6532,4073,7792,7693,9930,4689,0,6682,6129,5573,5591,6900,3290,1935,8075,8521,8746,8568,8243,4400,7360,8584,8354,8534,7611,7887
6022,12116,6847,5397,2000,1716,4648,6765,8392,1987,1906,2809,6655,7315,6679,1430,960,1652,5587,5426,7478,5740,142,6532,4073,7792,7693,9930,4689,0,6682,6129,5573,5591,6900,3290,1935,8075,8521,8746,8568,8243,4400,7360,8584,8354,8534,7611,7887,8089,6537,7590,9834,7110,6344,7691
6765,8392,1987,1906,2809,6655,7315,6679,1430,960,1652,5587,5426,7478,5740,142,6532,4073,7792,7693,9930,4689,0,6682,6129,5573,5591,6900,3290,1935,8075,8521,8746,8568,8243,4400,7360,8584,8354,8534,7611,7887,8089,6537,7590,9834,7110,6344,7691,9323,6649,7663,7138,7429,5409,8302
6679,1430,960,1652,5587,5426,7478,5740,142,6532,4073,7792,7693,9930,4689,0,6682,6129,5573,5591,6900,3290,1935,8075,8521,8746,8568,8243,4400,7360,8584,8354,8534,7611,7887,8089,6537,7590,9834,7110,6344,7691,9323,6649,7663,7138,7429,5409,8302,8847,8117,7231,6700,6615,5341,8473
